id_registro,timestamp,id_equipamento,regiao,umidade_solo_pct,inclinacao_lateral_graus,precipitacao_3h_mm,dist_corpo_agua_m,velocidade_kmh,temperatura_c,horas_operacao_dia,score_risco,nivel_risco,alerta_ativo
1,2025-03-30 18:45:00,EQ-007,Soja-PR,42.6,5.2,6.5,309,21.6,27.7,9.5,21,BAIXO,0
2,2025-03-30 19:30:00,EQ-020,Cana-SP,69.0,5.5,2.2,276,15.6,20.5,6.7,34,BAIXO,0
3,2025-03-30 20:15:00,EQ-015,Soja-PR,75.6,1.8,25.4,357,14.4,31.7,7.4,43,MEDIO,0
4,2025-03-30 21:00:00,EQ-011,Cana-SP,57.2,7.2,9.8,135,29.7,30.4,7.5,42,MEDIO,0
5,2025-03-30 21:45:00,EQ-008,Cerrado-MT,64.3,1.6,3.2,521,9.3,36.9,7.6,21,BAIXO,0
6,2025-03-30 22:30:00,EQ-007,Cana-SP,97.4,3.2,8.4,68,17.6,34.7,8.3,54,MEDIO,0
7,2025-03-30 23:15:00,EQ-019,Cana-SP,31.5,15.4,15.8,190,9.2,30.1,8.4,53,MEDIO,0
8,2025-03-31 00:00:00,EQ-011,Arroz-RS,30.3,1.9,38.1,484,25.9,25.2,8.3,38,MEDIO,0
9,2025-03-31 00:45:00,EQ-011,Cana-SP,68.9,0.6,3.0,60,18.0,29.2,7.7,51,MEDIO,0
10,2025-03-31 01:30:00,EQ-004,Cana-SP,93.9,0.6,26.1,35,19.1,27.3,9.3,74,ALTO,1
11,2025-03-31 02:15:00,EQ-008,Cerrado-MT,49.8,22.6,32.7,645,34.6,33.7,8.4,48,MEDIO,0
12,2025-03-31 03:00:00,EQ-003,Arroz-RS,89.5,5.7,29.8,126,14.4,33.0,5.8,62,ALTO,1
13,2025-03-31 03:45:00,EQ-002,Milho-GO,56.9,4.2,12.1,345,28.5,26.2,9.1,32,BAIXO,0
14,2025-03-31 04:30:00,EQ-012,Cerrado-MT,41.4,13.3,11.9,10,15.7,19.2,8.8,47,MEDIO,0
15,2025-03-31 05:15:00,EQ-006,Cerrado-MT,35.2,14.5,6.2,351,16.6,36.0,5.8,28,BAIXO,0
16,2025-03-31 06:00:00,EQ-002,Milho-GO,67.6,3.2,16.8,114,33.8,31.5,7.8,45,MEDIO,0
17,2025-03-31 06:45:00,EQ-001,Cana-SP,36.7,9.5,9.1,17,17.0,26.1,10.2,50,MEDIO,0
18,2025-03-31 07:30:00,EQ-012,Soja-PR,56.6,11.8,13.6,282,9.8,31.3,6.7,40,MEDIO,0
19,2025-03-31 08:15:00,EQ-012,Arroz-RS,86.7,8.5,6.7,83,19.7,28.4,6.5,58,ALTO,1
20,2025-03-31 09:00:00,EQ-017,Soja-PR,48.9,1.3,15.8,147,17.0,35.9,8.4,38,MEDIO,0
21,2025-03-31 09:45:00,EQ-010,Milho-GO,81.3,16.7,20.9,25,20.2,16.4,10.2,86,CRITICO,1
22,2025-03-31 10:30:00,EQ-016,Cerrado-MT,30.7,6.2,1.9,48,17.2,25.6,12.6,40,MEDIO,0
23,2025-03-31 11:15:00,EQ-015,Cerrado-MT,44.3,2.7,21.5,106,31.3,37.6,10.3,41,MEDIO,0
24,2025-03-31 12:00:00,EQ-015,Arroz-RS,26.9,4.4,9.3,28,21.3,31.4,11.2,40,MEDIO,0
25,2025-03-31 12:45:00,EQ-019,Cerrado-MT,56.5,0.3,22.3,725,11.6,38.6,9.7,38,MEDIO,0
26,2025-03-31 13:30:00,EQ-012,Cerrado-MT,70.6,1.1,6.8,10,18.7,20.7,7.6,48,MEDIO,0
27,2025-03-31 14:15:00,EQ-020,Arroz-RS,56.5,11.6,5.7,198,13.2,34.4,10.3,41,MEDIO,0
28,2025-03-31 15:00:00,EQ-003,Arroz-RS,79.5,0.0,29.6,39,16.5,34.1,8.8,69,ALTO,1
29,2025-03-31 15:45:00,EQ-005,Milho-GO,40.0,4.3,3.5,110,12.5,17.9,9.8,27,BAIXO,0
30,2025-03-31 16:30:00,EQ-019,Cerrado-MT,59.5,5.9,22.3,781,30.6,26.2,7.1,40,MEDIO,0
31,2025-03-31 17:15:00,EQ-007,Cerrado-MT,44.5,0.4,7.9,53,13.9,27.4,9.9,28,BAIXO,0
32,2025-03-31 18:00:00,EQ-009,Milho-GO,62.2,28.9,8.7,1013,22.1,18.3,8.8,45,MEDIO,0
33,2025-03-31 18:45:00,EQ-007,Cana-SP,65.1,2.1,4.4,69,16.1,26.4,9.5,45,MEDIO,0
34,2025-03-31 19:30:00,EQ-018,Cana-SP,66.6,2.9,10.2,406,11.0,33.2,8.8,42,MEDIO,0
35,2025-03-31 20:15:00,EQ-004,Cana-SP,33.6,2.9,4.7,237,19.2,25.7,8.4,22,BAIXO,0
36,2025-03-31 21:00:00,EQ-014,Milho-GO,37.2,2.1,0.5,647,20.4,29.5,10.0,13,BAIXO,0
37,2025-03-31 21:45:00,EQ-018,Cerrado-MT,40.9,0.0,3.8,242,21.4,29.5,8.2,22,BAIXO,0
38,2025-03-31 22:30:00,EQ-009,Milho-GO,50.2,10.5,0.1,229,2.3,27.9,5.8,27,BAIXO,0
39,2025-03-31 23:15:00,EQ-002,Milho-GO,56.7,27.3,46.0,65,10.6,23.8,5.3,78,CRITICO,1
40,2025-04-01 00:00:00,EQ-020,Cana-SP,69.2,2.0,40.5,55,23.7,32.0,9.4,68,ALTO,1
41,2025-04-01 00:45:00,EQ-015,Soja-PR,38.0,8.7,6.0,745,12.5,18.5,8.1,16,BAIXO,0
42,2025-04-01 01:30:00,EQ-007,Cerrado-MT,23.0,10.8,15.6,119,19.2,28.1,5.5,40,MEDIO,0
43,2025-04-01 02:15:00,EQ-012,Cana-SP,98.1,15.1,5.1,140,10.5,36.3,9.2,62,ALTO,1
44,2025-04-01 03:00:00,EQ-008,Soja-PR,32.4,4.4,13.3,428,22.4,25.3,8.8,23,BAIXO,0
45,2025-04-01 03:45:00,EQ-015,Soja-PR,71.7,2.9,19.6,124,23.6,23.6,8.0,43,MEDIO,0
46,2025-04-01 04:30:00,EQ-003,Arroz-RS,55.6,3.1,35.2,911,22.4,32.4,9.5,32,BAIXO,0
47,2025-04-01 05:15:00,EQ-014,Cerrado-MT,60.0,10.0,6.1,402,24.2,29.0,11.6,33,BAIXO,0
48,2025-04-01 06:00:00,EQ-017,Soja-PR,55.0,13.6,18.4,273,27.4,32.5,11.6,43,MEDIO,0
49,2025-04-01 06:45:00,EQ-004,Cana-SP,47.3,1.6,3.7,638,11.0,28.2,9.3,17,BAIXO,0
50,2025-04-01 07:30:00,EQ-018,Arroz-RS,64.3,3.7,55.7,15,13.3,13.7,8.8,64,ALTO,1
51,2025-04-01 08:15:00,EQ-008,Cerrado-MT,46.2,18.6,0.3,89,23.4,35.1,9.3,50,MEDIO,0
52,2025-04-01 09:00:00,EQ-004,Milho-GO,78.3,13.1,11.1,188,24.8,40.4,9.6,61,ALTO,1
53,2025-04-01 09:45:00,EQ-002,Cana-SP,66.4,33.5,12.9,77,14.0,35.7,8.5,72,ALTO,1
54,2025-04-01 10:30:00,EQ-006,Soja-PR,67.0,11.2,14.0,409,13.5,10.0,9.3,49,MEDIO,0
55,2025-04-01 11:15:00,EQ-010,Soja-PR,44.9,4.0,1.5,755,14.1,30.7,5.9,18,BAIXO,0
56,2025-04-01 12:00:00,EQ-004,Cana-SP,50.3,7.1,33.5,165,8.4,25.2,9.2,47,MEDIO,0
57,2025-04-01 12:45:00,EQ-018,Soja-PR,31.2,8.7,2.4,126,10.4,21.5,10.0,34,BAIXO,0
58,2025-04-01 13:30:00,EQ-012,Arroz-RS,47.9,0.7,11.7,978,10.5,28.7,8.0,31,BAIXO,0
59,2025-04-01 14:15:00,EQ-002,Cerrado-MT,34.3,6.3,3.0,177,16.2,27.1,8.8,23,BAIXO,0
60,2025-04-01 15:00:00,EQ-010,Arroz-RS,81.3,9.9,4.4,201,19.6,31.1,6.8,46,MEDIO,0
61,2025-04-01 15:45:00,EQ-004,Soja-PR,56.0,1.5,9.5,130,20.6,28.3,6.5,38,MEDIO,0
62,2025-04-01 16:30:00,EQ-014,Milho-GO,58.4,12.1,6.5,721,14.9,21.3,9.4,28,BAIXO,0
63,2025-04-01 17:15:00,EQ-016,Cerrado-MT,50.5,7.0,2.1,252,15.1,24.5,7.5,26,BAIXO,0
64,2025-04-01 18:00:00,EQ-015,Cerrado-MT,59.0,24.3,2.2,431,18.7,23.6,5.4,43,MEDIO,0
65,2025-04-01 18:45:00,EQ-008,Cana-SP,100.0,0.3,6.5,501,9.0,17.7,6.8,36,MEDIO,0
66,2025-04-01 19:30:00,EQ-014,Cana-SP,49.0,2.5,17.0,125,23.8,19.8,7.1,37,MEDIO,0
67,2025-04-01 20:15:00,EQ-008,Milho-GO,42.0,7.4,27.4,171,25.7,26.7,10.5,39,MEDIO,0
68,2025-04-01 21:00:00,EQ-016,Cerrado-MT,65.6,2.8,1.1,566,14.2,36.5,9.4,29,BAIXO,0
69,2025-04-01 21:45:00,EQ-013,Milho-GO,10.0,10.0,6.0,135,15.6,24.8,7.3,33,BAIXO,0
70,2025-04-01 22:30:00,EQ-018,Cana-SP,56.3,11.4,1.3,474,25.5,23.5,7.8,32,BAIXO,0
71,2025-04-01 23:15:00,EQ-015,Cana-SP,47.6,0.9,0.2,849,17.3,20.9,11.6,24,BAIXO,0
72,2025-04-02 00:00:00,EQ-013,Cerrado-MT,35.2,5.8,13.0,293,21.5,28.2,10.9,30,BAIXO,0
